index,truck_id,route_id,departure_date,estimated_arrival,delay,event_date
0,30312694,R-b236e347,2019-01-01 07:00:00,2019-01-01 13:13:12,0,2024-09-19
1,59856374,R-29ea762e,2019-01-01 07:00:00,2019-01-02 04:01:12,0,2024-09-19
2,12602955,R-a3d67783,2019-01-01 07:00:00,2019-01-01 07:45:36,0,2024-09-19
3,46619422,R-31ec9310,2019-01-01 07:00:00,2019-01-01 20:46:48,0,2024-09-19
4,10140178,R-a07c5dbd,2019-01-01 07:00:00,2019-01-01 21:34:11,0,2024-09-19
5,22653688,R-af4b19be,2019-01-01 07:00:00,2019-01-01 15:39:36,0,2024-09-19
6,45849400,R-f3910966,2019-01-01 07:00:00,2019-01-01 16:02:24,0,2024-09-19
7,21048046,R-0f705429,2019-01-01 07:00:00,2019-01-02 01:41:24,0,2024-09-19
8,31825609,R-20b28ed0,2019-01-01 07:00:00,2019-01-01 11:48:00,1,2024-09-19
9,27585963,R-c6f387a2,2019-01-01 07:00:00,2019-01-01 11:08:24,0,2024-09-19
10,48116553,R-4e761548,2019-01-01 07:00:00,2019-01-01 10:21:36,1,2024-09-19
11,29077811,R-ceca955c,2019-01-01 07:00:00,2019-01-01 11:13:48,0,2024-09-19
12,10248113,R-42089501,2019-01-01 07:00:00,2019-01-02 01:17:23,0,2024-09-19
13,12492275,R-199b44b9,2019-01-01 07:00:00,2019-01-01 15:48:36,0,2024-09-19
14,26923239,R-a440d67c,2019-01-01 07:00:00,2019-01-01 08:52:12,0,2024-09-19
15,24350497,R-813014f3,2019-01-01 07:00:00,2019-01-02 01:12:36,0,2024-09-19
16,29121693,R-2eb4a1eb,2019-01-01 07:00:00,2019-01-01 20:27:00,1,2024-09-19
17,81965280,R-34225f1e,2019-01-01 07:00:00,2019-01-02 00:12:00,1,2024-09-19
18,30147233,R-4517898c,2019-01-01 07:00:00,2019-01-01 22:06:36,0,2024-09-19
19,29433242,R-78400ecc,2019-01-01 07:00:00,2019-01-02 03:58:12,0,2024-09-19
20,21260443,R-0a155e4b,2019-01-01 07:00:00,2019-01-01 17:43:12,0,2024-09-19
21,60567423,R-796c9a8b,2019-01-01 07:00:00,2019-01-01 14:20:24,0,2024-09-19
22,51580610,R-f5b60fcb,2019-01-01 07:00:00,2019-01-01 10:06:00,0,2024-09-19
23,16991743,R-636eb206,2019-01-01 07:00:00,2019-01-01 09:09:00,0,2024-09-19
24,28674842,R-d1612204,2019-01-01 07:00:00,2019-01-02 03:18:00,0,2024-09-19
25,75500652,R-71152224,2019-01-01 07:00:00,2019-01-01 22:45:36,0,2024-09-19
26,21071765,R-96fa17e6,2019-01-01 07:00:00,2019-01-01 21:12:36,0,2024-09-19
27,13680498,R-16be3bb7,2019-01-01 07:00:00,2019-01-02 00:55:12,0,2024-09-19
