index,city_id,temp,wind_speed,description,humidity,pressure,datetime,event_date
0,C-927ceb5e,30,11,Light snow,86,1019,2019-01-01 00:00:00,2024-09-19
1,C-927ceb5e,28,12,Light snow,86,1021,2019-01-01 01:00:00,2024-09-19
2,C-927ceb5e,28,13,Moderate snow,85,1022,2019-01-01 02:00:00,2024-09-19
3,C-927ceb5e,28,14,Moderate snow,84,1024,2019-01-01 03:00:00,2024-09-19
4,C-927ceb5e,28,13,Moderate snow,84,1025,2019-01-01 04:00:00,2024-09-19
5,C-927ceb5e,27,12,Moderate snow,84,1026,2019-01-01 05:00:00,2024-09-19
6,C-927ceb5e,27,12,Moderate snow,84,1027,2019-01-01 06:00:00,2024-09-19
7,C-927ceb5e,27,12,Moderate snow,83,1027,2019-01-01 07:00:00,2024-09-19
8,C-927ceb5e,27,12,Light snow,83,1028,2019-01-01 08:00:00,2024-09-19
9,C-927ceb5e,25,13,Light snow,83,1029,2019-01-01 09:00:00,2024-09-19
10,C-927ceb5e,27,13,Light snow,82,1029,2019-01-01 10:00:00,2024-09-19
11,C-927ceb5e,27,13,Light snow,81,1029,2019-01-01 11:00:00,2024-09-19
12,C-927ceb5e,27,14,Light snow,80,1029,2019-01-01 12:00:00,2024-09-19
13,C-927ceb5e,27,13,Light snow,79,1029,2019-01-01 13:00:00,2024-09-19
14,C-927ceb5e,27,12,Light snow,79,1030,2019-01-01 14:00:00,2024-09-19
15,C-927ceb5e,25,12,Light snow,78,1030,2019-01-01 15:00:00,2024-09-19
16,C-927ceb5e,25,11,Light snow,79,1030,2019-01-01 16:00:00,2024-09-19
17,C-927ceb5e,25,9,Overcast,80,1030,2019-01-01 17:00:00,2024-09-19
18,C-927ceb5e,25,7,Overcast,81,1030,2019-01-01 18:00:00,2024-09-19
19,C-927ceb5e,23,6,Overcast,79,1030,2019-01-01 19:00:00,2024-09-19
20,C-927ceb5e,23,6,Cloudy,76,1029,2019-01-01 20:00:00,2024-09-19
21,C-927ceb5e,23,4,Cloudy,73,1029,2019-01-01 21:00:00,2024-09-19
22,C-927ceb5e,23,4,Cloudy,73,1028,2019-01-01 22:00:00,2024-09-19
23,C-927ceb5e,23,4,Overcast,73,1028,2019-01-01 23:00:00,2024-09-19
24,C-927ceb5e,23,4,Overcast,72,1027,2019-01-02 00:00:00,2024-09-19
25,C-927ceb5e,21,4,Overcast,74,1028,2019-01-02 01:00:00,2024-09-19
